"Title","Network","Season","Meta Score","# of critics","User score","Genre","Genre 2","Permise Date","# of rating"
"A to Z","NBC",": Season 1",,83,6.8,"Comedy",,"October 2, 2014",68
"Survivor's Remorse","Starz",": Season 1",,91,7.6,"Comedy","Sports","October 4, 2014",34
"Mulaney","FOX",": Season 1",,67,,"Comedy",,"October 5, 2014",80
"Cristela","ABC",": Season 1",,83,,"Comedy",,"October 10, 2014",43
"Marry Me","NBC",": Season 1",,80,6.7,"Comedy",,"October 14, 2014",59
"Growing Up Fisher","NBC",": Season 1",54,80,8.1,"Comedy",,"February 23, 2014",60
"Legit","FX,FXX",": Season 2",,91,6.9,"Comedy",,,21
"Late Night with Seth Meyers","NBC",": Season 1",,83,,"Comedy","Talk & Interview","February 25, 2014",86
"Mixology","ABC",": Season 1",48,80,8,"Comedy",,"February 26, 2014",58
"Portlandia","IFC,IFC - Independent Film Channel",": Season 4",,91,7.7,"Comedy",,,52
"Saint George","FX",": Season 1",,,,"Comedy",,"March 6, 2014",34
"Sirens (2014)","USA",": Season 1",,83,7.8,"Comedy",,"March 6, 2014",55
"Review","Comedy Central",": Season 1",,91,8.1,"Comedy",,"March 6, 2014",70
"Working the Engels","NBC",": Season 1",48,75,,"Comedy",,"March 12, 2014",30
"Doll & Em","HBO",": Season 1",,88,,"Comedy",,"March 19, 2014",37
"Surviving Jack","FOX",": Season 1",,90,8.3,"Comedy",,"March 27, 2014",85
"Silicon Valley","HBO",": Season 1",,91,8.6,"Comedy",,"April 6, 2014",526
"Inside Amy Schumer","Comedy Central",": Season 2",,91,7.2,"Comedy",,"April 1, 2014",37
"Veep","HBO",": Season 3",,91,8.2,"Comedy",,"April 6, 2014",165
"Welcome to Sweden","NBC,TV4",": Season 1",,83,6.1,"Comedy",,,60
"Louie","FX",": Season 4",,83,8.7,"Comedy",,"May 5, 2014",271
"Bad Teacher","CBS",": Season 1",51,88,,"Comedy",,"April 24, 2014",54
"Maron","IFC,IFC - Independent Film Channel",": Season 2",,80,7.9,"Comedy","Talk & Interview",,21
"Riot","FOX",": Season 1",,80,,"Comedy","Reality","May 13, 2014",13
"Undateable (2014)","NBC",": Season 1",49,75,7.6,"Comedy",,"May 29, 2014",88
"Jennifer Falls","TV LAND",": Season 1",51,,,"Comedy",,"June 4, 2014",19
"Almost Royal","BBC America",": Season 1",,91,6.2,"Comedy",,"June 21, 2014",29
"Veep","HBO",": Season 1",,90,7.8,"Comedy",,"April 22, 2013",273
"Guys With Kids","NBC",": Season 1",,80,,"Comedy",,"September 12, 2012",66
"The Office","NBC",": Season 9",,91,7.1,"Comedy",,"September 20, 2012",135
"Partners (2012)","CBS",": Season 1",,67,,"Comedy",,"September 24, 2012",78
"GCB","ABC",": Season 1",55,80,6.7,"Comedy",,"March 4, 2012",60
"Bent (2012)","NBC",": Season 1",,83,6.2,"Comedy",,"March 21, 2012",37
"Best Friends Forever","NBC",": Season 1",49,83,6.9,"Comedy",,"April 4, 2012",29
"The Big C","SHOWTIME",": Season 3",,83,6.3,"Comedy",,"April 8, 2012",18
"Veep","HBO",": Season 4",,91,8.3,"Comedy",,"April 29, 2012",159
"Don't Trust the B---- in Apartment 23","ABC",": Season 1",,83,7.4,"Comedy",,"April 11, 2012",127
"Episodes (US)","SHOWTIME",": Season 2",,91,8.3,"Comedy",,"May 11, 2012",79
"Men at Work","TBS",": Season 1",,,6.4,"Comedy",,"May 24, 2012",53
"Comedy Bang! Bang!","IFC,IFC - Independent Film Channel",": Season 1",,80,6.1,"Comedy",,,35
"The Soul Man","TV LAND",": Season 1",,83,,"Comedy",,"June 20, 2012",14
"Brand X With Russell Brand","FX",": Season 1",,70,,"Comedy",,"June 28, 2012",41
"Wilfred","FX,FXX",": Season 2",57,75,7.7,"Comedy",,,51
"Louie","FX",": Season 3",,90,8.8,"Comedy",,"June 28, 2012",276
"Anger Management","FX",": Season 1",44,80,,"Comedy",,"June 28, 2012",165
"Web Therapy","SHOWTIME",": Season 2",,91,7.2,"Comedy",,"July 2, 2012",18
"Sullivan & Son","TBS",": Season 1",48,91,,"Comedy",,"July 19, 2012",57
"Go On","NBC",": Season 1",,80,7.8,"Comedy",,"August 8, 2012",153
"Animal Practice","NBC",": Season 1",48,83,,"Comedy",,"August 12, 2012",69
"Stars Earn Stripes","NBC",": Season 1",51,70,,"Comedy",,"August 13, 2012",20
"The New Normal","NBC",": Season 1",,88,6.4,"Comedy",,"September 10, 2012",153
"The Inbetweeners","MTV - Music Television",": Season 1",,80,,"Comedy",,"August 20, 2012",50
"The Mindy Project","FOX,HULU",": Season 1",,91,7.3,"Comedy",,,189
"Ben & Kate","FOX",": Season 1",,90,6.5,"Comedy",,"September 25, 2012",78
"The Neighbors","ABC",": Season 1",42,75,6.1,"Comedy","Science Fiction","September 26, 2012",101
"See Dad Run","Nick-at-Nite",": Season 1",50,,6.2,"Comedy",,"October 7, 2012",13
"Underemployed","MTV - Music Television",": Season 1",56,80,7.5,"Comedy",,"October 16, 2012",27
"LOLwork","Bravo",": Season 1",,83,,"Comedy","Reality","November 7, 2012",7
"Malibu Country","ABC",": Season 1",41,67,6.3,"Comedy",,"November 2, 2012",54
"Wedding Band","TBS",": Season 1",,80,6.8,"Comedy",,"November 10, 2012",31
"1600 Penn","NBC",": Season 1",55,80,,"Comedy",,"December 17, 2012",80
"Legit","FX,FXX",": Season 1",,91,8.1,"Comedy",,,100
"Seed","The CW,CITYTV",": Season 1",59,75,6.5,"Comedy",,,11
"Community","NBC,Yahoo",": Season 4",,91,7,"Comedy",,,252
"Parks and Recreation","NBC",": Season 1",58,80,7.8,"Comedy",,"March 6, 2013",414
"How to Live with Your Parents (For the Rest of Your Life)","ABC",": Season 1",48,83,,"Comedy",,"April 3, 2013",35
"Veep","HBO",": Season 2",,88,8.2,"Comedy",,"April 14, 2013",149
"Louis C.K.: Oh My God","HBO",": Season 1",,91,8.2,"Comedy",,"April 13, 2013",126
"Vicious","PBS,ITV",": Season 1",,91,7.6,"Comedy",,,33
"Betas","Amazon Instant Video",": Season 1",,80,7.3,"Comedy",,"April 19, 2013",32
"The Big C","SHOWTIME",": Season 4",,80,7.3,"Comedy",,"April 29, 2013",27
"Inside Amy Schumer","Comedy Central",": Season 1",,83,,"Comedy",,"April 30, 2013",84
"Family Tools","ABC",": Season 1",42,67,,"Comedy",,"May 1, 2013",18
"Zach Stone Is Gonna Be Famous","MTV - Music Television",": Season 1",,83,7.8,"Comedy",,"May 2, 2013",34
"Maron","IFC,IFC - Independent Film Channel",": Season 1",,91,7.9,"Comedy","Talk & Interview",,45
"Family Tree","HBO",": Season 1",,83,7.3,"Comedy",,"May 12, 2013",59
"The Goodwin Games","FOX",": Season 1",57,91,7.4,"Comedy",,"May 20, 2013",32
"Arrested Development","FOX,Netflix",": Season 4",,90,8.1,"Comedy",,,351
"Save Me","NBC",": Season 1",43,75,,"Comedy",,"May 23, 2013",31
"Clear History","HBO",": Season 1",,88,6.7,"Comedy","Movie/Mini-Series","August 10, 2013",40
"Key & Peele","Comedy Central",": Season 3",,83,8.1,"Comedy",,"September 11, 2013",53
"It's Always Sunny in Philadelphia","FX,FXX",": Season 9",,83,8.4,"Comedy",,,115
"The Mindy Project","FOX,HULU",": Season 2",55,70,7.6,"Comedy",,,56
"Dads","FOX",": Season 1",,,,"Comedy",,"September 17, 2013",132
"Brooklyn Nine-Nine","NBC,FOX",": Season 1",,83,8.2,"Comedy",,,473
"Mom","CBS",": Season 1",,83,7.1,"Comedy",,"September 23, 2013",156
"The Goldbergs","ABC",": Season 1",52,80,8,"Comedy",,"September 24, 2013",172
"Community","NBC,Yahoo",": Season 3",,90,8.9,"Comedy",,,330
"United States of Tara","SHOWTIME",": Season 3",,91,7.6,"Comedy",,"March 28, 2011",45
"Workaholics","Comedy Central",": Season 1",52,80,7.7,"Comedy",,"April 6, 2011",131
"Better With You","ABC",": Season 1",,90,6.4,"Comedy",,"September 22, 2010",53
"Community","NBC,Yahoo",": Season 2",,75,9.1,"Comedy",,,410
"Bleep My Dad Says","CBS",": Season 1",,,,"Comedy",,"September 23, 2010",94
"Todd Margaret","IFC,IFC - Independent Film Channel",": Season 1",,80,6.8,"Comedy",,,35
"Conan (2010)","TBS",": Season 1",,88,8.6,"Comedy","Talk & Interview","November 8, 2010",82
"Men of a Certain Age","TNT",": Season 2",,91,7.9,"Comedy",,"December 6, 2010",59
"Wishful Drinking","HBO",": Season 1",,83,6.2,"Comedy","News/Documentary","December 12, 2010",13
"Perfect Couples","NBC",": Season 1",44,75,7,"Comedy","Health & Lifestyle","December 20, 2010",60
"Episodes (US)","SHOWTIME",": Season 1",,90,7.6,"Comedy",,"January 9, 2011",152
"Parks and Recreation","NBC",": Season 3",,83,8.9,"Comedy",,"January 20, 2011",272
"Retired at 35","TV LAND",": Season 1",48,75,,"Comedy",,"January 19, 2011",22
"Portlandia","IFC,IFC - Independent Film Channel",": Season 1",,88,7.4,"Comedy",,,99
"Traffic Light","FOX",": Season 1",,91,6.3,"Comedy",,"February 8, 2011",44
"Mr. Sunshine","ABC",": Season 1",54,88,6.4,"Comedy",,"February 9, 2011",68
"Mad Love","CBS",": Season 1",60,88,6.6,"Comedy",,"February 14, 2011",49
"Friday Night Dinner","Channel 4,BBC America",": Season 1",,80,7.4,"Comedy",,,19
"Happy Endings","ABC",": Season 1",57,83,7.5,"Comedy",,"April 13, 2011",119
"The Paul Reiser Show","NBC",": Season 1",,75,,"Comedy",,"April 14, 2011",41
"Happily Divorced","TV LAND",": Season 1",47,83,6.8,"Comedy",,"June 15, 2011",26
"Jon Benjamin Has A Van","Comedy Central",": Season 1",52,70,7.1,"Comedy","Talk & Interview","June 14, 2011",19
"Louie","FX",": Season 2",,91,8.6,"Comedy",,"June 23, 2011",273
"Wilfred","FX,FXX",": Season 1",,83,7.4,"Comedy",,,183
"The Big C","SHOWTIME",": Season 2",,91,,"Comedy",,"June 27, 2011",37
"Curb Your Enthusiasm","HBO",": Season 8",,80,8.4,"Comedy",,"July 10, 2011",106
"State of Georgia ","ABC Family",": Season 1",58,70,6.6,"Comedy",,"June 29, 2011",13
"Web Therapy","SHOWTIME",": Season 1",58,70,6.8,"Comedy",,"July 19, 2011",45
"Whisker Wars","IFC,IFC - Independent Film Channel",": Season 1",60,91,,"Comedy","Reality",,7
"Free Agents (2011)","NBC",": Season 1",51,83,,"Comedy",,"September 14, 2011",40
"Up All Night","NBC",": Season 1",,80,6.5,"Comedy",,"September 14, 2011",107
"2 Broke Girls","CBS",": Season 1",,88,7.5,"Comedy",,"September 19, 2011",492
"New Girl","FOX",": Season 1",,90,7.8,"Comedy",,"September 20, 2011",428
"Suburgatory","ABC",": Season 1",,83,7.5,"Comedy",,"September 28, 2011",146
"Whitney","NBC",": Season 1",48,91,,"Comedy",,"September 22, 2011",137
"How to Be a Gentleman","CBS",": Season 1",41,75,,"Comedy",,"September 29, 2011",54
"Man Up!","ABC",": Season 1",,67,,"Comedy",,"October 18, 2011",49
"The Exes","TV LAND",": Season 1",49,70,,"Comedy",,"November 30, 2011",39
"Life's Too Short","HBO,BBC Two",": Season 1",,91,7.2,"Comedy","Reality",,50
"I Hate My Teenage Daughter","FOX",": Season 1",,70,,"Comedy",,"November 30, 2011",56
"Would You Rather...? with Graham Norton","BBC America",": Season 1",,83,6.5,"Comedy","Reality","December 3, 2011",8
"Work It ","ABC",": Season 1",,,,"Comedy",,"January 3, 2012",67
"Portlandia","IFC,IFC - Independent Film Channel",": Season 2",,88,7.8,"Comedy",,,40
"Absolutely Fabulous (UK)","BBC,Logo,BBC America,BBC One",": Season 6",,91,7,"Comedy",,,21
"House of Lies","SHOWTIME",": Season 1",,80,,"Comedy",,"January 8, 2012",144
"Are You There, Chelsea?","NBC",": Season 1",,67,,"Comedy",,"January 11, 2012",74
"Key & Peele","Comedy Central",": Season 1",,91,6.7,"Comedy",,"January 31, 2012",87
"Rob","CBS",": Season 1",,,,"Comedy",,"January 12, 2012",63
"Cougar Town","ABC,TBS",": Season 3",,88,7.2,"Comedy",,,67
"Comic Book Men","AMC",": Season 1",57,83,7.4,"Comedy","Reality","February 12, 2012",46
"Parks and Recreation","NBC",": Season 2",,83,8.7,"Comedy",,"September 17, 2009",243
"Howie Do It","NBC",": Season 1",,67,,"Comedy","Reality","January 9, 2009",46
"The Marriage Ref","NBC",": Season 1",40,70,,"Comedy",,"February 28, 2010",88
"United States of Tara","SHOWTIME",": Season 1",,80,7.9,"Comedy",,"January 18, 2009",104
"Flight of the Conchords","HBO",": Season 2",,88,7.3,"Comedy","Music","January 18, 2009",74
"Important Things with Demetri Martin","Comedy Central",": Season 1",,80,8.2,"Comedy",,"February 11, 2009",84
"Late Night with Jimmy Fallon","NBC",": Season 1",48,75,,"Comedy","Talk & Interview","March 2, 2009",117
"Reaper","The CW",": Season 2",56,75,8.4,"Comedy","Fantasy","March 3, 2009",39
"Better Off Ted","ABC",": Season 1",,88,8.4,"Comedy",,"March 18, 2009",95
"Party Down","Starz",": Season 1",,88,8.6,"Comedy",,"March 20, 2009",73
"Cupid","ABC",": Season 1",52,75,7.8,"Comedy",,"March 31, 2009",37
"In the Motherhood","ABC",": Season 1",,80,,"Comedy","Health & Lifestyle","March 26, 2009",28
"Surviving Suburbia","ABC",": Season 1",,83,,"Comedy",,"April 6, 2009",29
"The Tonight Show with Conan O'Brien","NBC",": Season 1",,80,7.8,"Comedy","Talk & Interview","June 1, 2009",81
"Hung","HBO",": Season 1",,80,7.3,"Comedy",,"June 28, 2009",100
"10 Things I Hate About You","ABC Family",": Season 1",,80,6.6,"Comedy",,"July 7, 2009",32
"Labor Pains","ABC Family",": Season 1",54,75,,"Comedy",,"July 19, 2009",18
"Ruby and the Rockits","ABC Family",": Season 1",59,83,8.4,"Comedy",,"July 21, 2009",43
"The Jay Leno Show ","NBC",": Season 1",48,88,,"Comedy","Talk & Interview","September 14, 2009",81
"Community","NBC,Yahoo",": Season 1",,91,8.8,"Comedy",,,747
"The Tonight Show with Jay Leno","NBC",": Season 18",48,,,"Comedy","Talk & Interview","March 1, 2010",102
"United States of Tara","SHOWTIME",": Season 2",,83,7.3,"Comedy",,"March 22, 2010",56
"Sons of Tucson","FOX",": Season 1",51,75,7.5,"Comedy",,"March 14, 2010",37
"Party Down","Starz",": Season 2",,88,8.6,"Comedy",,"April 23, 2010",78
"Are We There Yet?","TBS",": Season 1",46,63,,"Comedy",,"June 2, 2010",32
"100 Questions","Vertex,NBC",": Season 1",49,67,,"Comedy",,,42
"Hot in Cleveland","TV LAND",": Season 1",,91,6.5,"Comedy",,"June 16, 2010",104
"Hung","HBO",": Season 2",,80,7.3,"Comedy",,"June 27, 2010",35
"Louie","FX",": Season 1",,91,8.5,"Comedy",,"June 29, 2010",382
"The Big C","SHOWTIME",": Season 1",,80,6.8,"Comedy",,"August 16, 2010",96
"Melissa & Joey","ABC Family,Freeform",": Season 1",53,83,,"Comedy",,,44
"It's Always Sunny in Philadelphia","FX,FXX",": Season 6",,91,9.1,"Comedy",,,139
"Raising Hope","FOX",": Season 1",,91,8.1,"Comedy",,"September 21, 2010",165
"Mike & Molly","CBS",": Season 1",,88,6.4,"Comedy",,"September 20, 2010",117
"Cougar Town","ABC,TBS",": Season 2",,91,7.6,"Comedy",,,65
"Running Wilde","FOX",": Season 1",48,83,6.5,"Comedy",,"September 21, 2010",63
"It's Always Sunny in Philadelphia","FX,FXX",": Season 5",,88,9.1,"Comedy",,,153
"The Office","NBC",": Season 6",,88,7.6,"Comedy",,"September 17, 2009",206
"Curb Your Enthusiasm","HBO",": Season 7",,90,8.5,"Comedy",,"September 20, 2009",89
"Accidentally on Purpose","CBS",": Season 1",50,75,6.2,"Comedy",,"September 21, 2009",111
"Modern Family","ABC",": Season 1",,90,8.7,"Comedy",,"September 23, 2009",675
"Cougar Town","ABC,TBS",": Season 1",51,80,6.3,"Comedy",,,226
"The Middle","ABC",": Season 1",,80,7.7,"Comedy",,"September 30, 2009",202
"Hank","ABC",": Season 1",,,,"Comedy",,"September 30, 2009",51
"Sherri","LIFETIME",": Season 1",,80,7.1,"Comedy",,"October 5, 2009",24
"Secret Girlfriend","Comedy Central",": Season 1",46,75,6.2,"Comedy",,"October 7, 2009",125
"Monty Python: Almost the Truth (The Lawyer's Cut)","SUNDANCE,Sundance Channel",": Season 1",,90,8.4,"Comedy","Documentary",,23
"The League","FX,FXX",": Season 1",52,91,8.1,"Comedy","Sports",,159
"Men of a Certain Age","TNT",": Season 1",,91,8.6,"Comedy",,"December 7, 2009",152
"Scrubs","ABC,NBC",": Season 9",,88,,"Comedy",,,116
"Better Off Ted","ABC",": Season 2",,91,8.7,"Comedy",,"December 8, 2009",64
"Blue Mountain State","Spike TV",": Season 1",,67,8.3,"Sports","Comedy","January 11, 2010",156
"Onion News Network","IFC,IFC - Independent Film Channel",": Season 1",,91,7.7,"Comedy",,,16
"La La Land","SHOWTIME",": Season 1",59,80,8.3,"Comedy","Documentary","January 25, 2010",14
"Tracey Ullman's State of the Union","SHOWTIME",": Season 1",,91,,"Comedy",,"March 30, 2008",26
"Notes from the Underbelly","ABC",": Season 1",,75,7,"Comedy",,"April 12, 2007",61
"Gavin and Stacey","BBC-3,BBC Three",": Season 1",,83,8,"Comedy",,,28
"Psych","USA",": Season 1",59,80,8.9,"Comedy",,"July 7, 2006",312
"Til Death","FOX",": Season 1",,70,,"Comedy",,"September 7, 2006",75
"Happy Hour","FOX",": Season 1",,70,8.3,"Comedy",,"September 7, 2006",85
"Extras","BBC-2,BBC Two",": Season 2",,90,8.7,"Comedy",,,72
"TALKSHOW with Spike Feresten","FOX",": Season 1",42,80,8.5,"Comedy","Talk & Interview","September 16, 2006",50
"The Office","NBC",": Season 3",,91,9,"Comedy",,"September 21, 2006",231
"The Class","CBS",": Season 1",59,90,7.7,"Comedy",,"September 18, 2006",106
"Help Me Help You","ABC",": Season 1",50,91,8.1,"Comedy",,"September 26, 2006",41
"Twenty Good Years","NBC",": Season 1",,,,"Comedy",,"October 11, 2006",64
"10 Items Or Less","Other,TBS",": Season 1",42,91,,"Comedy",,,41
"Big Day","ABC",": Season 1",40,80,7.5,"Comedy",,"November 28, 2006",44
"My Boys","TBS",": Season 1",59,83,7.7,"Comedy",,"November 28, 2006",70
"The Knights of Prosperity","ABC",": Season 1",,80,8.1,"Comedy",,"January 3, 2007",62
"In Case of Emergency","ABC",": Season 1",,,6.9,"Comedy",,"January 3, 2007",41
"The Sarah Silverman Program","Comedy Central",": Season 1",,88,,"Comedy",,"February 1, 2007",194
"Rules of Engagement","CBS",": Season 1",,,7.5,"Comedy",,"February 5, 2007",147
"Dice Undisputed","VH1,VH-1",": Season 1",42,,7.3,"Comedy","Reality",,16
"The Winner","FOX",": Season 1",44,75,,"Comedy",,"March 4, 2007",84
"Halfway Home","Comedy Central",": Season 1",43,,6.8,"Comedy",,"March 14, 2007",38
"Thank God You're Here","NBC",": Season 1",,63,,"Comedy","Reality","April 9, 2007",39
"Andy Barker, P.I.","NBC",": Season 1",,88,7.8,"Comedy","Suspense","March 15, 2007",62
"Creature Comforts","CBS",": Season 1",,90,7.4,"Comedy","Documentary","June 4, 2007",54
"Flight of the Conchords","HBO",": Season 1",,91,9.1,"Comedy","Music","June 17, 2007",229
"American Body Shop","Comedy Central",": Season 1",,70,,"Comedy","Reality","July 8, 2007",14
"Greek","ABC Family",": Season 1",,80,8.2,"Comedy",,"July 9, 2007",111
"The Bill Engvall Show","TBS",": Season 1",,,,"Comedy",,"July 17, 2007",41
"Anchorwoman","FOX",": Season 1",,75,,"Comedy","Reality","August 22, 2007",20
"Summer Heights High","HBO,ABC1",": Season 1",,91,8.8,"Comedy",,,72
"Curb Your Enthusiasm","HBO",": Season 6",,91,8.8,"Comedy",,"September 9, 2007",44
"Back to You","FOX",": Season 1",58,83,,"Comedy",,"September 19, 2007",68
"Reaper","The CW",": Season 1",,90,8.6,"Comedy","Fantasy","September 25, 2007",153
"Aliens in America","The CW,CW",": Season 1",,83,8,"Comedy",,,53
"Carpoolers","ABC",": Season 1",,,8.2,"Comedy",,"October 2, 2007",74
"Cavemen","ABC",": Season 1",,,,"Comedy",,"October 2, 2007",141
"Samantha Who?","ABC",": Season 1",59,80,8.3,"Comedy",,"October 15, 2007",57
"Welcome to the Captain","CBS",": Season 1",50,80,,"Comedy",,"February 4, 2008",45
"Lewis Black's Root of All Evil","Comedy Central",": Season 1",,80,,"Comedy","Reality","March 12, 2008",55
"Unhitched","FOX",": Season 1",43,80,,"Comedy",,"March 2, 2008",35
"The Return of Jezebel James","FOX",": Season 1",,,,"Comedy",,"March 14, 2008",35
"Farmer Wants a Wife","The CW",": Season 1",,,7.5,"Comedy","Reality","April 30, 2008",30
"Miss Guided","ABC",": Season 1",,91,8.3,"Comedy",,"March 18, 2008",39
"The Inbetweeners (UK)","E4,BBC America",": Season 1",,91,6.1,"Comedy",,,154
"The Middleman","ABC Family",": Season 1",,80,8.1,"Comedy","Fantasy","June 16, 2008",35
"I Survived a Japanese Game Show","ABC",": Season 1",,,8.1,"Comedy","Reality","June 24, 2008",14
"The Cho Show","VH1",": Season 1",44,70,,"Comedy","Reality","August 21, 2008",15
"Sordid Lives: The Series","Logo",": Season 1",,80,8.2,"Comedy",,"July 23, 2008",27
"Z Rock","IFC",": Season 1",57,80,8.1,"Comedy",,"August 24, 2008",22
"Gym Teacher: The Movie","Nickelodeon",": Season 1",,70,,"Comedy",,"September 12, 2008",6
"Do Not Disturb","FOX",": Season 1",,,,"Comedy",,"September 10, 2008",26
"It's Always Sunny in Philadelphia","FX,FXX",": Season 4",,83,9,"Comedy",,,179
"Worst Week","CBS",": Season 1",,80,6.1,"Comedy",,"September 22, 2008",63
"Gary Unmarried","CBS",": Season 1",47,70,6.5,"Comedy",,"September 24, 2008",42
"Little Britain USA","HBO",": Season 1",60,80,6.5,"Comedy",,"September 28, 2008",55
"The Ex List","CBS",": Season 1",,83,8.4,"Comedy",,"October 3, 2008",37
"Testees","FX",": Season 1",,70,7.6,"Comedy",,"October 9, 2008",59
"Kath & Kim","NBC",": Season 1",,80,,"Comedy",,"October 9, 2008",75
"Chocolate News","Comedy Central",": Season 1",,80,,"Comedy",,"October 15, 2008",55
"Scrubs","ABC,NBC",": Season 8",,80,8.4,"Comedy",,,116
"Joey","NBC",": Season 1",58,75,6.5,"Comedy",,"September 9, 2004",20
"Curb Your Enthusiasm","HBO",": Season 5",,90,8.9,"Comedy",,"September 25, 2005",125
"Hot Properties","ABC",": Season 1",,75,8.1,"Comedy",,"October 7, 2005",56
"The Office (UK)","BBC-2,BBC America,BBC Two",": Season 1",,90,8.6,"Comedy",,,156
"Undeclared","FOX",": Season 1",,90,8,"Comedy",,"September 25, 2001",40
"Scrubs","ABC,NBC",": Season 1",,91,8.8,"Comedy",,,244
"Monk","USA",": Season 1",,90,8.4,"Comedy","Suspense","July 12, 2002",72
"George Lopez","ABC",": Season 1",44,75,7.7,"Comedy",,"March 27, 2002",41
"Curb Your Enthusiasm","HBO",": Season 3",,90,8.9,"Comedy",,"September 15, 2002",55
"8 Simple Rules","ABC",": Season 1",53,75,7,"Comedy",,"September 17, 2002",34
"The Office (UK)","BBC-2,BBC America,BBC Two",": Season 2",,88,8.9,"Comedy",,,85
"Reno 911!","Comedy Central",": Season 1",,91,6.6,"Comedy",,"July 23, 2003",25
"Arrested Development","FOX,Netflix",": Season 1",,90,9.2,"Comedy",,,510
"Two and a Half Men","CBS",": Season 1",,90,8.1,"Comedy",,"September 22, 2003",364
"The Office (UK)","BBC-2,BBC America,BBC Two",": Season 3",,90,8.5,"Comedy",,,85
"Curb Your Enthusiasm","HBO",": Season 4",,90,8.8,"Comedy",,"January 4, 2004",53
"Stacked","FOX",": Season 2",,,,"Comedy",,"November 9, 2005",29
"Sit Down Comedy with David Steinberg","TV LAND",": Season 1",,80,7.4,"Comedy","Talk & Interview","December 14, 2005",14
"Four Kings","NBC",": Season 1",40,70,6.8,"Comedy",,"January 5, 2006",48
"Emily's Reasons Why Not","ABC",": Season 1",48,88,,"Comedy",,"January 9, 2006",53
"Crumbs","ABC",": Season 1",44,80,6.8,"Comedy",,"January 12, 2006",41
"Courting Alex","CBS",": Season 1",,70,,"Comedy",,"January 23, 2006",45
"The IT Crowd (UK)","Channel 4",": Season 1",,80,8.7,"Comedy",,"February 3, 2006",169
"Sons & Daughters","ABC",": Season 1",,88,8,"Comedy",,"March 7, 2006",85
"Free Ride","FOX",": Season 1",45,70,,"Comedy",,"March 1, 2006",84
"The Loop","FOX",": Season 1",44,83,7.9,"Comedy",,"March 15, 2006",72
"The New Adventures of Old Christine","CBS",": Season 1",,88,7.3,"Comedy",,"March 13, 2006",108
"Modern Men","WB",": Season 1",,70,,"Comedy",,"March 17, 2006",25
"Teachers","NBC",": Season 1",,,6.6,"Comedy",,"March 28, 2006",80
"So NoTORIous","VH1,VH-1",": Season 1",,83,8.5,"Comedy",,,64
"I've Got A Secret","GSN",": Season 1",46,80,7,"Comedy","Reality","April 17, 2006",24
"Freddie","ABC",": Season 1",,63,6.5,"Comedy",,"May 31, 2006",68
"Lovespring International","LIFETIME",": Season 1",55,75,8.2,"Comedy",,"June 5, 2006",37
"Dane Cook's Tourgasm","HBO",": Season 1",,,,"Comedy",,"June 11, 2006",63
"It's Always Sunny in Philadelphia","FX,FXX",": Season 2",,90,9,"Comedy",,,143
"Lucky Louie","HBO",": Season 1",47,75,7.6,"Comedy",,"June 11, 2006",175
"The Office","NBC",": Season 1",,90,8.4,"Comedy",,"March 24, 2005",445
"Arrested Development","FOX,Netflix",": Season 2",,91,9.3,"Comedy",,,300
"The Comeback","HBO",": Season 1",58,88,7.7,"Comedy",,"June 5, 2005",66
"The Thick of It (UK)","BBC-3,BBC Two,BBC Three",": Season 1",,91,8.5,"Comedy",,,51
"Extras","BBC-2,BBC Two",": Season 1",,90,8.5,"Comedy",,,118
"It's Always Sunny in Philadelphia","FX,FXX",": Season 1",,88,9,"Comedy",,,312
"The War at Home","FOX",": Season 1",,70,,"Comedy",,"September 11, 2005",109
"Twins","WB,The WB",": Season 1",,75,,"Comedy",,,35
"Head Cases","FOX",": Season 1",43,90,,"Comedy",,"September 14, 2005",30
"My Name Is Earl","NBC",": Season 1",,90,8.7,"Comedy",,"September 20, 2005",246
"Out of Practice","CBS",": Season 1",53,80,8.8,"Comedy",,"September 19, 2005",79
"Everybody Hates Chris","The CW,UPN",": Season 1",,90,8.2,"Comedy",,,235
"Love, Inc.","UPN",": Season 1",,80,7.5,"Comedy",,"September 22, 2005",21
"Coach","ABC",": Season 1",44,70,,"Comedy",,"February 28, 1989",8
"Murphy Brown","CBS",": Season 1",,90,,"Comedy",,"November 14, 1988",22
"Murphy Brown","CBS",": Season 2",,,,"Comedy",,"September 18, 1989",63
"Seinfeld","NBC",": Season 1",,83,9,"Comedy",,"July 5, 1989",210
"Family Matters","ABC",": Season 1",48,83,7.2,"Comedy",,"September 22, 1989",18
"The Simpsons","FOX",": Season 1",,90,8.8,"Comedy","Animation","December 17, 1989",381
"America's Funniest Home Videos","ABC",": Season 1",,,6.4,"Comedy","Reality","January 14, 1990",14
"The Fresh Prince of Bel-Air","NBC",": Season 1",58,90,7.4,"Comedy",,"September 10, 1990",73
"Uncle Buck","CBS",": Season 1",,70,,"Comedy",,"September 10, 1990",11
"Herman's Head","FOX",": Season 1",47,90,,"Comedy",,"September 8, 1991",6
"The Larry Sanders Show","HBO",": Season 1",,90,7.2,"Comedy","Talk & Interview","August 15, 1992",36
"Home Improvement","ABC",": Season 1",,83,7.7,"Comedy","Health & Lifestyle","September 17, 1991",32
"The Larry Sanders Show","HBO",": Season 2",,90,7.1,"Comedy","Talk & Interview","June 2, 1993",27
